# Future population calculated as final historical year (2010) population times ratio of SSP future years to SSP 2010
scenario,year,iso,value
SSP1,2016,abw,105.53545898028197
SSP1,2016,afg,35227.92555772371
SSP1,2016,ago,28603.32021178642
SSP1,2016,aia,14.279
SSP1,2016,alb,2893.0305674629703
SSP1,2016,and,78.01100000000001
SSP1,2016,ant,200.689
SSP1,2016,are,9498.150959412951
SSP1,2016,arg,43317.670239758554
SSP1,2016,arm,2915.4088291184903
SSP1,2016,asm,55.812
SSP1,2016,atg,93.566
SSP1,2016,aus,24304.74829978312
SSP1,2016,aut,8712.326106435166
SSP1,2016,aze,9694.180569737138
SSP1,2016,bdi,10404.64615555097
SSP1,2016,bel,11349.497441038407
SSP1,2016,ben,10830.692607303263
SSP1,2016,bfa,18539.95608240931
SSP1,2016,bgd,157704.40358048317
SSP1,2016,bgr,7158.571875310875
SSP1,2016,bhr,1411.370839118189
SSP1,2016,bhs,378.1117523803178
SSP1,2016,bih,3423.9369027462276
SSP1,2016,blr,9402.592391501401
SSP1,2016,blz,365.13130019430287
SSP1,2016,bmu,63.69200000000001
SSP1,2016,bol,10976.185426176211
SSP1,2016,bra,205677.67739449439
SSP1,2016,brb,285.6575069136148
SSP1,2016,brn,419.9625448359825
SSP1,2016,btn,739.7409925370767
SSP1,2016,bwa,2141.8318878880605
SSP1,2016,caf,4562.73657965111
SSP1,2016,can,36427.44325663953
SSP1,2016,che,8343.216019086765
SSP1,2016,chi,165.38500000000002
SSP1,2016,chl,18086.77628114047
SSP1,2016,chn,1409055.4663028556
SSP1,2016,civ,23510.131009575576
SSP1,2016,cmr,23673.68285514962
SSP1,2016,cod,78104.77500579346
SSP1,2016,cog,4954.591629581765
SSP1,2016,cok,17.586
SSP1,2016,col,47984.25479882843
SSP1,2016,com,787.9985233574546
SSP1,2016,cpv,526.9862857173325
SSP1,2016,cri,4902.115679490798
SSP1,2016,cub,11295.66284486941
SSP1,2016,cym,61.724000000000004
SSP1,2016,cyp,1174.2065517157741
SSP1,2016,cze,10649.829930411512
SSP1,2016,deu,81807.0828873923
SSP1,2016,dji,927.6436744473898
SSP1,2016,dma,71.18299999999999
SSP1,2016,dnk,5718.084887185283
SSP1,2016,dom,10367.365385780082
SSP1,2016,dza,40169.35710193488
SSP1,2016,ecu,16370.553072273213
SSP1,2016,egy,93668.72171170762
SSP1,2016,eri,3423.9586437305966
SSP1,2016,esh,526.216
SSP1,2016,esp,46881.736790307485
SSP1,2016,est,1314.0714446742597
SSP1,2016,eth,102824.81530493968
SSP1,2016,fin,5509.74033868813
SSP1,2016,fji,871.0999677472728
SSP1,2016,flk,2.8339999999999996
SSP1,2016,fra,64866.13055828318
SSP1,2016,fro,48.050999999999995
SSP1,2016,fsm,108.94514200759886
SSP1,2016,gab,1975.179978361303
SSP1,2016,gbr,66302.70794603867
SSP1,2016,geo,3997.7518129374953
SSP1,2016,gha,28340.632112201634
SSP1,2016,gib,33.736000000000004
SSP1,2016,gin,11581.551053141922
SSP1,2016,glp,401.6435926288421
SSP1,2016,gmb,2126.268621327385
SSP1,2016,gnb,1762.7897805797854
SSP1,2016,gnq,1195.2190749474894
SSP1,2016,grc,10662.955465897261
SSP1,2016,grd,109.57512480978254
SSP1,2016,grl,56.376999999999995
SSP1,2016,gtm,16487.340910089246
SSP1,2016,guf,265.6683504169335
SSP1,2016,gum,163.3861970618247
SSP1,2016,guy,768.1509276272695
SSP1,2016,hkg,7239.237106090018
SSP1,2016,hnd,9225.090027736542
SSP1,2016,hrv,4225.001706844522
SSP1,2016,hti,10785.020173504856
SSP1,2016,hun,9760.614465425348
SSP1,2016,idn,260197.17660870848
SSP1,2016,imn,83.23400000000001
SSP1,2016,ind,1322937.1488581796
SSP1,2016,irl,4706.798646297958
SSP1,2016,irn,79161.32815949088
SSP1,2016,irq,36336.4756775983
SSP1,2016,isl,334.92729609099763
SSP1,2016,isr,8152.929834970492
SSP1,2016,ita,60661.774979491034
SSP1,2016,jam,2894.6934148320966
SSP1,2016,jor,9489.750763798344
SSP1,2016,jpn,127811.38934173684
SSP1,2016,kaz,17701.912440100084
SSP1,2016,ken,48833.68678142956
SSP1,2016,kgz,5996.692015064664
SSP1,2016,khm,15639.143140306043
SSP1,2016,kir,110.93
SSP1,2016,kna,51.203
SSP1,2016,kor,50952.03676063616
SSP1,2016,kwt,3926.6590162120156
SSP1,2016,lao,6811.82746457969
SSP1,2016,lbn,6570.311199956793
SSP1,2016,lbr,4619.105184977544
SSP1,2016,lby,6503.567813490817
SSP1,2016,lca,180.30856385990066
SSP1,2016,lie,37.47
SSP1,2016,lka,21002.80649572485
SSP1,2016,lso,2075.1407635105566
SSP1,2016,ltu,2918.740680106708
SSP1,2016,lux,575.1984626826555
SSP1,2016,lva,1986.4014258411569
SSP1,2016,mac,607.3005998109072
SSP1,2016,mar,34854.26738002514
SSP1,2016,mco,37.718
SSP1,2016,mda,4026.1458422827013
SSP1,2016,mdg,24770.708312020826
SSP1,2016,mdv,460.4477417997373
SSP1,2016,mex,122867.1855925568
SSP1,2016,mhl,57.439
SSP1,2016,mkd,2084.9278557677985
SSP1,2016,mli,17863.10460577751
SSP1,2016,mlt,435.0779612285346
SSP1,2016,mmr,52793.81449146186
SSP1,2016,mne,628.557557667564
SSP1,2016,mng,3029.706632004129
SSP1,2016,mnp,55.78
SSP1,2016,moz,27511.983416472784
SSP1,2016,mrt,4118.39329144989
SSP1,2016,msr,4.967
SSP1,2016,mtq,379.412214114414
SSP1,2016,mus,1264.7037690420073
SSP1,2016,mwi,17208.29536765832
SSP1,2016,mys,30665.6978777992
SSP1,2016,myt,245.2591083683468
SSP1,2016,nam,2345.262129605198
SSP1,2016,ncl,274.6451460028275
SSP1,2016,ner,20613.11896453618
SSP1,2016,nga,185309.58676194752
SSP1,2016,nic,6260.761241712883
SSP1,2016,niu,1.619
SSP1,2016,nld,17011.735265285126
SSP1,2016,nor,5257.893222088868
SSP1,2016,npl,27416.196905247736
SSP1,2016,nru,10.383000000000001
SSP1,2016,nzl,4663.3009142579485
SSP1,2016,omn,4332.185707182012
SSP1,2016,pak,202409.24397906117
SSP1,2016,pan,4013.2038054423515
SSP1,2016,per,30630.244425842295
SSP1,2016,phl,103551.8738261974
SSP1,2016,plw,17.665
SSP1,2016,png,8235.655100539385
SSP1,2016,pol,38053.551987035185
SSP1,2016,pri,3367.8374371844884
SSP1,2016,prk,25254.7340844954
SSP1,2016,prt,10393.85833517542
SSP1,2016,pry,6770.094488148498
SSP1,2016,pse,4877.261660305186
SSP1,2016,pyf,275.5489850667275
SSP1,2016,qat,2619.5439715746616
SSP1,2016,reu,871.0364917431418
SSP1,2016,rom,19846.666897778316
SSP1,2016,rus,144757.5557152218
SSP1,2016,rwa,11625.83587901153
SSP1,2016,sau,32406.9629586833
SSP1,2016,sdn,39645.4149650131
SSP1,2016,sen,14834.414383794241
SSP1,2016,sgp,5630.355718434511
SSP1,2016,shn,5.864999999999999
SSP1,2016,slb,613.5363505822036
SSP1,2016,sle,7314.0677808522
SSP1,2016,slv,6328.328719000127
SSP1,2016,smr,33.272000000000006
SSP1,2016,som,13987.962277837845
SSP1,2016,spm,5.993
SSP1,2016,srb,8864.66207093452
SSP1,2016,stp,200.9461758516069
SSP1,2016,sur,562.7832971923948
SSP1,2016,svk,5451.277601403791
SSP1,2016,svn,2078.1052009480295
