# Units converted to constant 1990 USD
iso,year,value
afg,1969,2264.981508451803
alb,1969,2580.084681429742
dza,1969,23962.85931565584
ago,1969,11460.454337637446
atg,1969,141.31169838274667
arg,1969,114107.34605467244
arm,1969,2349.3078102073678
aus,1969,199761.5743175823
aut,1969,87761.56121259421
aze,1969,10896.689174973571
bhs,1969,2344.0541556100015
bhr,1969,3903.7787116408645
bgd,1969,14260.004436826348
brb,1969,1414.297802728683
blr,1969,10067.49043617431
bel,1969,120722.10883018345
blz,1969,101.56256353128305
ben,1969,1035.2978143369457
btn,1969,65.16820774246449
bol,1969,4157.325597395797
bih,1969,692.5601806937294
bwa,1969,290.04711943964196
bra,1969,270155.73029213294
brn,1969,3377.8921083668392
bgr,1969,15052.14921044052
bfa,1969,1035.880967358552
mmr,1969,7202.902942867585
bdi,1969,498.3370428280692
khm,1969,616.8163213888421
cmr,1969,3467.609936870807
can,1969,319720.0429466217
cpv,1969,66.8138339050197
caf,1969,589.7314362691536
tcd,1969,1496.4359613024965
chl,1969,27025.824384366882
chn,1969,93684.12662886156
col,1969,37541.64998804595
cod,1969,13444.942541073491
cog,1969,1380.3238618172113
cri,1969,3938.721055986406
civ,1969,5470.531448997736
hrv,1969,13557.153320457217
cub,1969,12284.177770917102
cyp,1969,1641.4392030211118
cze,1969,49153.08422619812
dnk,1969,95600.28565811442
dji,1969,179.01940185337037
dma,1969,95.77523156459627
dom,1969,3745.801634542239
ecu,1969,9096.679187026406
egy,1969,17347.878847274773
slv,1969,6028.872760820381
gnq,1969,85.9985128352812
eri,1969,494.57154988391727
est,1969,5768.60444278361
eth,1969,4708.422354373102
fji,1969,709.532968129143
fin,1969,52015.89059602255
fra,1969,649846.1349196312
gab,1969,2468.190546220646
gmb,1969,127.65114094901254
geo,1969,5783.012412404541
deu,1969,915527.1552839824
gha,1969,5620.895872398019
grc,1969,69516.65580561345
grd,1969,124.42104053012713
gtm,1969,6563.236852194702
gin,1969,934.1953084043822
gnb,1969,222.96644684996193
guy,1969,948.4311027553566
hti,1969,2901.2311404155257
hnd,1969,2245.425432291718
hkg,1969,13861.560517086371
hun,1969,35458.309431343296
isl,1969,1995.8009762499873
ind,1969,129763.02565870716
idn,1969,43414.54844617223
irn,1969,62260.23340048013
irq,1969,12587.602051254184
irl,1969,22850.884135406683
isr,1969,23380.15487329704
ita,1969,575605.9396390077
jam,1969,5006.794840774147
jpn,1969,1245814.7357860522
jor,1969,921.0453397022358
kaz,1969,34045.113286472166
ken,1969,3860.2196876932653
kwt,1969,38287.511938135365
kgz,1969,1449.699940802798
lao,1969,789.7930309421957
lva,1969,6479.953497189318
lbn,1969,5367.715766145364
lso,1969,221.41845264125027
lbr,1969,830.4666348484997
lby,1969,8995.854404422005
ltu,1969,11549.404963693303
lux,1969,7660.796806393929
mac,1969,1104.7266673516365
mkd,1969,3401.450434959149
mdg,1969,3105.766125665623
mwi,1969,850.6104817577378
mys,1969,13011.661165370819
mdv,1969,49.92568281878267
mli,1969,1405.1408490036647
mlt,1969,696.4918458620245
mrt,1969,696.5287876823977
mus,1969,835.0012432993151
mex,1969,168004.34053111504
mda,1969,3464.9646386619365
mng,1969,761.0067770917101
mar,1969,11537.379081811083
moz,1969,1057.5968206597443
nam,1969,2615.2519750743418
npl,1969,2205.2320720502657
nld,1969,183582.50827990234
nzl,1969,37092.8662412938
nic,1969,3488.2590951087222
ner,1969,1749.397055334367
nga,1969,47394.50185109809
nor,1969,80644.19177739797
omn,1969,3329.7331681074074
pak,1969,16258.299645626892
pan,1969,3517.4602847630426
png,1969,1795.9351732249233
pry,1969,2008.185721530117
per,1969,27595.130820086735
phl,1969,28610.94512255361
pol,1969,79025.08456446783
prt,1969,42756.3573519329
pri,1969,17021.09546230525
zaf,1969,83366.67200383317
rom,1969,51312.45896533327
rus,1969,543381.3258572825
