# Population by region and gSSP SSP in future periods
scenario,GCAM_region_ID,year,value
gSSP1,1,2016,327033.0353841243
gSSP1,1,2017,329701.28476824873
gSSP1,1,2018,332369.5341523731
gSSP1,1,2019,335037.78353649745
gSSP1,1,2020,337706.0329206218
gSSP1,1,2021,340407.9857791211
gSSP1,1,2022,343109.9386376204
gSSP1,1,2023,345811.8914961197
gSSP1,1,2024,348513.844354619
gSSP1,1,2025,351215.7972131183
gSSP1,1,2026,353829.84031834145
gSSP1,1,2027,356443.88342356455
gSSP1,1,2028,359057.92652878776
gSSP1,1,2029,361671.96963401086
gSSP1,1,2030,364286.01273923414
gSSP1,1,2031,366810.3080351545
gSSP1,1,2032,369334.6033310748
gSSP1,1,2033,371858.8986269951
gSSP1,1,2034,374383.1939229155
gSSP1,1,2035,376907.4892188358
gSSP1,1,2036,379321.553601258
gSSP1,1,2037,381735.6179836803
gSSP1,1,2038,384149.6823661026
gSSP1,1,2039,386563.74674852483
gSSP1,1,2040,388977.8111309471
gSSP1,1,2041,391222.9383211024
gSSP1,1,2042,393468.06551125785
gSSP1,1,2043,395713.1927014133
gSSP1,1,2044,397958.31989156874
gSSP1,1,2045,400203.4470817241
gSSP1,1,2046,402321.55663498637
gSSP1,1,2047,404439.66618824867
gSSP1,1,2048,406557.775741511
gSSP1,1,2049,408675.88529477327
gSSP1,1,2050,410793.99484803557
gSSP1,1,2051,412847.47365180205
gSSP1,1,2052,414900.9524555684
gSSP1,1,2053,416954.43125933484
gSSP1,1,2054,419007.91006310127
gSSP1,1,2055,421061.38886686775
gSSP1,1,2056,423098.0567223365
gSSP1,1,2057,425134.7245778054
gSSP1,1,2058,427171.39243327413
gSSP1,1,2059,429208.06028874294
gSSP1,1,2060,431244.72814421175
gSSP1,1,2061,433176.0935136804
gSSP1,1,2062,435107.45888314914
gSSP1,1,2063,437038.8242526178
gSSP1,1,2064,438970.1896220865
gSSP1,1,2065,440901.5549915551
gSSP1,1,2066,442686.833545947
gSSP1,1,2067,444472.11210033897
gSSP1,1,2068,446257.3906547309
gSSP1,1,2069,448042.6692091228
gSSP1,1,2070,449827.9477635147
gSSP1,1,2071,451422.16197849397
gSSP1,1,2072,453016.3761934733
gSSP1,1,2073,454610.59040845267
gSSP1,1,2074,456204.804623432
gSSP1,1,2075,457799.01883841126
gSSP1,1,2076,458985.3730304356
gSSP1,1,2077,460171.7272224599
gSSP1,1,2078,461358.08141448424
gSSP1,1,2079,462544.4356065086
gSSP1,1,2080,463730.7897985328
gSSP1,1,2081,464439.2933731565
gSSP1,1,2082,465147.7969477802
gSSP1,1,2083,465856.3005224038
gSSP1,1,2084,466564.8040970275
gSSP1,1,2085,467273.30767165107
gSSP1,1,2086,467571.8349524961
gSSP1,1,2087,467870.36223334115
gSSP1,1,2088,468168.8895141862
gSSP1,1,2089,468467.4167950312
