# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Afghanistan,1986,6.003123659517426e-4,afg,27
Albania,1986,0,alb,15
Algeria,1986,0.03124148138721832,dza,3
American Samoa,1986,0,asm,29
Angola,1986,0.03177028507294158,ago,4
Antigua and Barbuda,1986,0.0024012494638069705,atg,9
Argentina,1986,0.01734596271828128,arg,31
Armenia,1986,0,arm,10
Aruba,1986,0,abw,9
Australia,1986,0.01909161579444726,aus,6
Austria,1986,0,aut,13
Azerbaijan,1986,0,aze,10
"Bahamas, The",1986,0.010070104733352653,bhs,9
Bahrain,1986,0.02201145341823056,bhr,21
Bangladesh,1986,2.2414065315315318e-4,bgd,27
Barbados,1986,0.00717189998762167,brb,9
Belarus,1986,0,blr,14
Belgium,1986,0.11767083833900926,bel,13
Belize,1986,6.003123659517426e-4,blz,9
Benin,1986,4.878538493967829e-5,ben,5
Bermuda,1986,0.0010049048732048403,bmu,9
Bhutan,1986,0,btn,27
Bolivia,1986,2.001041219839142e-4,bol,26
Bosnia and Herzegovina,1986,0,bih,15
Botswana,1986,0,bwa,4
Brazil,1986,0.03938385632079801,bra,7
Brunei,1986,0,brn,29
Bulgaria,1986,0,bgr,12
Burkina Faso,1986,0,bfa,5
Burma (Myanmar),1986,0,mmr,29
Burundi,1986,8.694524100201074e-5,bdi,2
Cambodia,1986,0,khm,29
Cameroon,1986,0.0022011453418230567,cmr,5
Canada,1986,0.014856979915706591,can,8
Cape Verde,1986,4.002082439678284e-4,cpv,5
Cayman Islands,1986,0,cym,9
Central African Republic,1986,4.878538493967829e-5,caf,5
Chad,1986,8.004164879356568e-4,tcd,5
Chile,1986,0,chl,26
China,1986,0,chn,11
Colombia,1986,0.008557005096249064,col,32
Comoros,1986,0,com,2
Congo (Brazzaville),1986,4.4828130630630635e-4,cog,5
Congo (Kinshasa),1986,0.006347446968516775,cod,5
Cook Islands,1986,0,cok,29
Costa Rica,1986,0,cri,9
Cote dIvoire (IvoryCoast),1986,0.0026013535857908852,civ,5
Croatia,1986,0,hrv,15
Cuba,1986,0.012199140481667998,cub,9
Cyprus,1986,0.0010726302034272878,cyp,12
Czech Republic,1986,0,cze,12
Denmark,1986,0.01948341125250586,dnk,13
Djibouti,1986,0.0036180988542496915,dji,2
Dominica,1986,4.878538493967829e-5,dma,9
Dominican Republic,1986,4.002082439678284e-4,dom,9
Ecuador,1986,0.0017450521628867475,ecu,26
Egypt,1986,0.06283750160918292,egy,3
El Salvador,1986,0.002017265878378378,slv,9
Equatorial Guinea,1986,0,gnq,5
Eritrea,1986,0,eri,2
Estonia,1986,0,est,12
Ethiopia,1986,8.484895502741348e-4,eth,2
Falkland Islands (Islas Malvinas),1986,4.0883255135135134e-5,flk,13
Faroe Islands,1986,0,fro,13
Fiji,1986,4.002082439678284e-4,fji,29
Finland,1986,0.02090877755084173,fin,13
Former Czechoslovakia,1986,0,cze,12
Former Serbia and Montenegro,1986,0,scg,15
Russia,1986,0.17931252252252253,rus,23
France,1986,0.09197578651909281,fra,13
French Guiana,1986,0,guf,25
French Polynesia,1986,8.178892433558557e-5,pyf,29
Gabon,1986,0.004786875182353937,gab,5
"Gambia, The",1986,0,gmb,5
Georgia,1986,0,geo,10
Germany,1986,0,deu,13
"Germany, East",1986,0.019507447783675098,deu,13
"Germany, West",1986,0.16450001018947902,deu,13
Ghana,1986,0.0018009370978552281,gha,5
Gibraltar,1986,0.015473516940197569,gib,13
Greece,1986,0.0698020865154699,grc,13
Greenland,1986,0,grl,13
Grenada,1986,4.0883255135135134e-5,grd,9
Guadeloupe,1986,1.9516155017091152e-4,glp,9
Guam,1986,0.0020030146190481365,gum,29
Guatemala,1986,0.004802498927613941,gtm,9
Guinea,1986,4.002082439678284e-4,gin,5
Guinea-Bissau,1986,2.001041219839142e-4,gnb,5
Guyana,1986,2.1325931549283873e-4,guy,25
Haiti,1986,8.004164879356568e-4,hti,9
Hawaiian Trade Zone,1986,0.053228898274279644,usa,1
