# Downscale GCAM3.0 supply curves to the country level (on the basis of resource
# production) and aggregate by the new GCAM regions.
# Use crude oil production shares as a proxy for unconventional oil resources.
# ** PRE-BUILT; RAW IEA DATA NOT AVAILABLE **
# ** PRE-BUILT; RAW IEA DATA NOT AVAILABLE **
# ** PRE-BUILT; RAW IEA DATA NOT AVAILABLE **
# ** PRE-BUILT; RAW IEA DATA NOT AVAILABLE **
GCAM_region_ID,resource,subresource,grade,available,extractioncost
1,coal,coal,grade 1,284,0.33999999999999997
1,coal,coal,grade 2,6851,0.37
1,coal,coal,grade 3,9469,1.2
1,coal,coal,grade 4,13456,1.7
1,coal,coal,grade 5,18440,2
1,coal,coal,grade 6,18440,2.3
1,coal,coal,grade 7,0,2.6
1,crude oil,crude oil,grade 1,297,0.5
1,crude oil,crude oil,grade 2,262,0.55
1,crude oil,crude oil,grade 3,504.5,0.92
1,crude oil,crude oil,grade 4,374.5,1.3
1,crude oil,crude oil,grade 5,236,2.1
1,crude oil,crude oil,grade 6,343,2.7
1,crude oil,crude oil,grade 7,0,3.5
1,natural gas,natural gas,grade 1,207,0.62
1,natural gas,natural gas,grade 2,778,0.6799999999999999
1,natural gas,natural gas,grade 3,575,1.1
1,natural gas,natural gas,grade 4,1431,1.7
1,natural gas,natural gas,grade 5,716,3.1
1,natural gas,natural gas,grade 6,1339,3.7
1,natural gas,natural gas,grade 7,48254,6.5
1,natural gas,natural gas,grade 8,0,6.6
1,unconventional oil,unconventional oil,grade 1,4397,1.8
1,unconventional oil,unconventional oil,grade 2,8594,3.3
1,unconventional oil,unconventional oil,grade 3,2338.38,10.8
1,unconventional oil,unconventional oil,grade 4,0,16.3
2,coal,coal,grade 1,0.04648297554985526,0.33999999999999997
2,coal,coal,grade 2,0.8790262697731558,0.37
2,coal,coal,grade 3,0.6001284164740242,1.2
2,coal,coal,grade 4,0.8516345163241339,1.7
2,coal,coal,grade 5,1.1670547075552946,2
2,coal,coal,grade 6,1.1670547075552946,2.3
2,coal,coal,grade 7,0,2.6
2,crude oil,crude oil,grade 1,4.96279815379741,0.5
2,crude oil,crude oil,grade 2,5.2795725040397965,0.55
2,crude oil,crude oil,grade 3,9.054466844428251,0.92
2,crude oil,crude oil,grade 4,10.4007578329584,1.3
