# First calculate cement output as the base-year cement output times the GDP ratio raised to the income elasticity
# Then back out the appropriate income elasticities from cement output
region,energy.final.demand,year,income.elasticity
USA,cement,2100,0.312
Africa_Eastern,cement,2100,0.266
Africa_Northern,cement,2100,0.007
Africa_Southern,cement,2100,0.422
Africa_Western,cement,2100,0.404
Australia_NZ,cement,2100,0.117
Brazil,cement,2100,0.14
Canada,cement,2100,0.198
Central America and Caribbean,cement,2100,0.084
Central Asia,cement,2100,0.061
China,cement,2100,-0.094
EU-12,cement,2100,0.017
EU-15,cement,2100,0.016
Europe_Eastern,cement,2100,0.011
Europe_Non_EU,cement,2100,-0.034
European Free Trade Association,cement,2100,0.096
India,cement,2100,0.033
Indonesia,cement,2100,0.056
Japan,cement,2100,0.024
Mexico,cement,2100,0.083
Middle East,cement,2100,-0.037
Pakistan,cement,2100,0.013
Russia,cement,2100,0.042
South Africa,cement,2100,0.314
South America_Northern,cement,2100,0.098
South America_Southern,cement,2100,0.082
South Asia,cement,2100,0.112
South Korea,cement,2100,-0.163
Southeast Asia,cement,2100,0.023
Taiwan,cement,2100,-0.035
Argentina,cement,2100,0.126
Colombia,cement,2100,0.098
USA,cement,2095,0.328
Africa_Eastern,cement,2095,0.299
Africa_Northern,cement,2095,0.008
Africa_Southern,cement,2095,0.493
Africa_Western,cement,2095,0.468
Australia_NZ,cement,2095,0.124
Brazil,cement,2095,0.159
Canada,cement,2095,0.209
Central America and Caribbean,cement,2095,0.1
Central Asia,cement,2095,0.072
China,cement,2095,-0.11
EU-12,cement,2095,0.02
EU-15,cement,2095,0.017
Europe_Eastern,cement,2095,0.013
Europe_Non_EU,cement,2095,-0.034
European Free Trade Association,cement,2095,0.101
India,cement,2095,0.04
Indonesia,cement,2095,0.064
Japan,cement,2095,0.025
Mexico,cement,2095,0.097
Middle East,cement,2095,-0.037
Pakistan,cement,2095,0.016
Russia,cement,2095,0.048
South Africa,cement,2095,0.33
South America_Northern,cement,2095,0.112
South America_Southern,cement,2095,0.095
South Asia,cement,2095,0.136
South Korea,cement,2095,-0.188
Southeast Asia,cement,2095,0.027
Taiwan,cement,2095,-0.035
Argentina,cement,2095,0.141
Colombia,cement,2095,0.113
USA,cement,2090,0.348
Africa_Eastern,cement,2090,0.34
Africa_Northern,cement,2090,0.009
Africa_Southern,cement,2090,0.581
Africa_Western,cement,2090,0.549
Australia_NZ,cement,2090,0.135
Brazil,cement,2090,0.18
Canada,cement,2090,0.221
Central America and Caribbean,cement,2090,0.119
Central Asia,cement,2090,0.086
China,cement,2090,-0.128
EU-12,cement,2090,0.023
EU-15,cement,2090,0.019
Europe_Eastern,cement,2090,0.016
Europe_Non_EU,cement,2090,-0.034
European Free Trade Association,cement,2090,0.109
India,cement,2090,0.049
Indonesia,cement,2090,0.075
Japan,cement,2090,0.027
Mexico,cement,2090,0.112
Middle East,cement,2090,-0.038
Pakistan,cement,2090,0.02
Russia,cement,2090,0.056
South Africa,cement,2090,0.359
South America_Northern,cement,2090,0.129
South America_Southern,cement,2090,0.11
South Asia,cement,2090,0.168
South Korea,cement,2090,-0.221
Southeast Asia,cement,2090,0.032
Taiwan,cement,2090,-0.035
Argentina,cement,2090,0.157
Colombia,cement,2090,0.131
USA,cement,2085,0.376
Africa_Eastern,cement,2085,0.417
Africa_Northern,cement,2085,0.01
Africa_Southern,cement,2085,0.758
Africa_Western,cement,2085,0.675
Australia_NZ,cement,2085,0.144
Brazil,cement,2085,0.199
Canada,cement,2085,0.233
Central America and Caribbean,cement,2085,0.144
Central Asia,cement,2085,0.102
China,cement,2085,-0.159
EU-12,cement,2085,0.027
EU-15,cement,2085,0.02
Europe_Eastern,cement,2085,0.019
Europe_Non_EU,cement,2085,-0.035
European Free Trade Association,cement,2085,0.117
India,cement,2085,0.06
Indonesia,cement,2085,0.088
Japan,cement,2085,0.03
Mexico,cement,2085,0.131
Middle East,cement,2085,-0.038
Pakistan,cement,2085,0.025
Russia,cement,2085,0.065
South Africa,cement,2085,0.392
South America_Northern,cement,2085,0.151
South America_Southern,cement,2085,0.129
South Asia,cement,2085,0.198
South Korea,cement,2085,-0.252
Southeast Asia,cement,2085,0.039
Taiwan,cement,2085,-0.035
Argentina,cement,2085,0.178
Colombia,cement,2085,0.154
USA,cement,2080,0.403
