# First calculate cement output as the base-year cement output times the GDP ratio raised to the income elasticity
# Then back out the appropriate income elasticities from cement output
region,energy.final.demand,year,income.elasticity
USA,cement,2100,0.363
Africa_Eastern,cement,2100,1.105
Africa_Northern,cement,2100,0.006
Africa_Southern,cement,2100,1.108
Africa_Western,cement,2100,1.105
Australia_NZ,cement,2100,0.094
Brazil,cement,2100,0.144
Canada,cement,2100,0.206
Central America and Caribbean,cement,2100,0.308
Central Asia,cement,2100,0.166
China,cement,2100,-0.252
EU-12,cement,2100,0.039
EU-15,cement,2100,0.013
Europe_Eastern,cement,2100,0.077
Europe_Non_EU,cement,2100,-0.036
European Free Trade Association,cement,2100,0.052
India,cement,2100,0.091
Indonesia,cement,2100,0.101
Japan,cement,2100,0.017
Mexico,cement,2100,0.119
Middle East,cement,2100,-0.039
Pakistan,cement,2100,0.365
Russia,cement,2100,0.096
South Africa,cement,2100,0.216
South America_Northern,cement,2100,0.309
South America_Southern,cement,2100,0.164
South Asia,cement,2100,1.106
South Korea,cement,2100,-0.143
Southeast Asia,cement,2100,0.131
Taiwan,cement,2100,-0.038
Argentina,cement,2100,0.251
Colombia,cement,2100,0.153
USA,cement,2095,0.381
Africa_Eastern,cement,2095,1.104
Africa_Northern,cement,2095,0.007
Africa_Southern,cement,2095,1.106
Africa_Western,cement,2095,1.104
Australia_NZ,cement,2095,0.101
Brazil,cement,2095,0.159
Canada,cement,2095,0.216
Central America and Caribbean,cement,2095,0.316
Central Asia,cement,2095,0.178
China,cement,2095,-0.252
EU-12,cement,2095,0.042
EU-15,cement,2095,0.014
Europe_Eastern,cement,2095,0.084
Europe_Non_EU,cement,2095,-0.036
European Free Trade Association,cement,2095,0.056
India,cement,2095,0.101
Indonesia,cement,2095,0.112
Japan,cement,2095,0.019
Mexico,cement,2095,0.131
Middle East,cement,2095,-0.039
Pakistan,cement,2095,0.387
Russia,cement,2095,0.102
South Africa,cement,2095,0.229
South America_Northern,cement,2095,0.325
South America_Southern,cement,2095,0.179
South Asia,cement,2095,1.105
South Korea,cement,2095,-0.157
Southeast Asia,cement,2095,0.137
Taiwan,cement,2095,-0.038
Argentina,cement,2095,0.262
Colombia,cement,2095,0.168
USA,cement,2090,0.4
Africa_Eastern,cement,2090,1.103
Africa_Northern,cement,2090,0.007
Africa_Southern,cement,2090,1.105
Africa_Western,cement,2090,1.103
Australia_NZ,cement,2090,0.109
Brazil,cement,2090,0.175
Canada,cement,2090,0.227
Central America and Caribbean,cement,2090,0.324
Central Asia,cement,2090,0.188
China,cement,2090,-0.252
EU-12,cement,2090,0.046
EU-15,cement,2090,0.015
Europe_Eastern,cement,2090,0.093
Europe_Non_EU,cement,2090,-0.036
European Free Trade Association,cement,2090,0.06
India,cement,2090,0.112
Indonesia,cement,2090,0.126
Japan,cement,2090,0.021
Mexico,cement,2090,0.145
Middle East,cement,2090,-0.039
Pakistan,cement,2090,0.41
Russia,cement,2090,0.109
South Africa,cement,2090,0.242
South America_Northern,cement,2090,0.344
South America_Southern,cement,2090,0.191
South Asia,cement,2090,1.105
South Korea,cement,2090,-0.173
Southeast Asia,cement,2090,0.144
Taiwan,cement,2090,-0.038
Argentina,cement,2090,0.274
Colombia,cement,2090,0.183
USA,cement,2085,0.419
Africa_Eastern,cement,2085,1.102
Africa_Northern,cement,2085,0.008
Africa_Southern,cement,2085,1.103
Africa_Western,cement,2085,1.102
Australia_NZ,cement,2085,0.117
Brazil,cement,2085,0.189
Canada,cement,2085,0.238
Central America and Caribbean,cement,2085,0.333
Central Asia,cement,2085,0.197
China,cement,2085,-0.252
EU-12,cement,2085,0.05
EU-15,cement,2085,0.016
Europe_Eastern,cement,2085,0.103
Europe_Non_EU,cement,2085,-0.036
European Free Trade Association,cement,2085,0.065
India,cement,2085,0.125
Indonesia,cement,2085,0.141
Japan,cement,2085,0.023
Mexico,cement,2085,0.16
Middle East,cement,2085,-0.039
